"taxa","SIMPLE_TERM_FC_SIMPLE_TERM_TD_NO_INTERACTION","AIC_model_1","SIMPLE_TERM_FC_SIMPLE_TERM_TD_WITH_INTERACTION","AIC_model_2","SIMPLE_TERM_FC_SQUARE_TERM_TD_WITH_INTERACTION","AIC_model_3","SIMPLE_TERM_FC_SQUARE_TERM_TD_NO_INTERACTION","AIC_model_4"
"ExoticAnts","ExoticAnts_at_600_m",183.427423961019,"ExoticAnts_at_600_m",185.35330181022,"ExoticAnts_at_600_m",180.0504120836,"ExoticAnts_at_600_m",178.617966917846
"ExoticBirds","ExoticBirds_at_1000_m",242.233645401628,"ExoticBirds_at_200_m",244.541180306825,"ExoticBirds_at_200_m",238.3040822012,"ExoticBirds_at_200_m",236.841460034847
"ExoticHerbs","ExoticHerbs_at_500_m",170.416092619287,"ExoticHerbs_at_500_m",174.874003498213,"ExoticHerbs_at_1000_m",168.908705686516,"ExoticHerbs_at_300_m",165.777681662601
"ExoticTrees","ExoticTrees_at_1000_m",206.820651848873,"ExoticTrees_at_800_m",208.519609878608,"ExoticTrees_at_1000_m",203.138887252682,"ExoticTrees_at_1000_m",200.053994637415
"NativeNonEndemicAmphibians","NativeNonEndemicAmphibians_at_1000_m",221.973336702882,"NativeNonEndemicAmphibians_at_1000_m",224.261541405895,"NativeNonEndemicAmphibians_at_1000_m",218.94342465238,"NativeNonEndemicAmphibians_at_1000_m",216.579034383617
"NativeNonEndemicAnts","NativeNonEndemicAnts_at_400_m",214.804673654798,"NativeNonEndemicAnts_at_1000_m",219.053528573376,"NativeNonEndemicAnts_at_1000_m",212.723162044734,"NativeNonEndemicAnts_at_500_m",210.552471569221
"NativeNonEndemicBirds","NativeNonEndemicBirds_at_500_m",230.367319564939,"NativeNonEndemicBirds_at_100_m",233.419865280877,"NativeNonEndemicBirds_at_200_m",227.817014060014,"NativeNonEndemicBirds_at_200_m",225.483882864695
"NativeNonEndemicButterflies","NativeNonEndemicButterflies_at_1000_m",207.354236691297,"NativeNonEndemicButterflies_at_1000_m",210.309649912553,"NativeNonEndemicButterflies_at_1000_m",204.802437897119,"NativeNonEndemicButterflies_at_600_m",202.490063318894
"NativeNonEndemicHerbs","NativeNonEndemicHerbs_at_800_m",148.223985246683,"NativeNonEndemicHerbs_at_900_m",149.708024679144,"NativeNonEndemicHerbs_at_1000_m",142.454492467601,"NativeNonEndemicHerbs_at_800_m",143.555960806151
"NativeNonEndemicReptiles","NativeNonEndemicReptiles_at_300_m",205.778375243479,"NativeNonEndemicReptiles_at_300_m",208.278046720792,"NativeNonEndemicReptiles_at_300_m",202.374224606709,"NativeNonEndemicReptiles_at_300_m",199.398419725723
"NativeNonEndemicTrees","NativeNonEndemicTrees_at_400_m",129.422344587983,"NativeNonEndemicTrees_at_400_m",134.721992025791,"NativeNonEndemicTrees_at_400_m",129.774547003974,"NativeNonEndemicTrees_at_400_m",125.486641732626
